# Generated from PMD on the pre-existing Ground Control backend during gate-pack adoption.
# Format: repo-relative file|PMD rule|line|message. New findings outside this list fail pmdRatchet.
backend/src/main/java/com/keplerops/groundcontrol/domain/assets/service/AssetService.java|CyclomaticComplexity|47|The class 'AssetService' has a total cyclomatic complexity of 189 (highest 14).
backend/src/main/java/com/keplerops/groundcontrol/domain/assets/service/AssetService.java|GodClass|47|Possible God Class (WMC=189, ATFD=87, TCC=12.475%)
backend/src/main/java/com/keplerops/groundcontrol/domain/assets/validation/AssetSubtypeValidator.java|CyclomaticComplexity|24|The class 'AssetSubtypeValidator' has a total cyclomatic complexity of 189 (highest 11).
backend/src/main/java/com/keplerops/groundcontrol/domain/controlpacks/service/ControlPackService.java|CyclomaticComplexity|494|The method 'applyFieldToControl(Control, String, String)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/controlpacks/service/ControlPackService.java|GodClass|35|Possible God Class (WMC=78, ATFD=134, TCC=25.238%)
backend/src/main/java/com/keplerops/groundcontrol/domain/evidence/service/EvidenceArtifactService.java|GodClass|48|Possible God Class (WMC=51, ATFD=29, TCC=24.444%)
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/AssetGraphProjectionContributor.java|CyclomaticComplexity|175|The method 'toInternalLinkEdge(UUID, UUID, AssetLinkTargetType, UUID, String)' has a cyclomatic complexity of 18.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/ControlGraphProjectionContributor.java|CyclomaticComplexity|67|The method 'toControlLinkEdge(UUID, UUID, ControlLinkTargetType, UUID, String)' has a cyclomatic complexity of 17.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/FindingGraphProjectionContributor.java|CyclomaticComplexity|103|The method 'toFindingLinkEdge(UUID, UUID, FindingLinkTargetType, UUID, String, Set<UUID>, Set<UUID>)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/GraphTargetResolverService.java|CyclomaticComplexity|103|The method 'validateAssetTarget(UUID, AssetLinkTargetType, UUID, String)' has a cyclomatic complexity of 16.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/GraphTargetResolverService.java|CyclomaticComplexity|158|The method 'validateRiskScenarioTarget(UUID, RiskScenarioLinkTargetType, UUID, String)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/GraphTargetResolverService.java|CyclomaticComplexity|217|The method 'validateControlTarget(UUID, ControlLinkTargetType, UUID, String)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/GraphTargetResolverService.java|CyclomaticComplexity|30|The class 'GraphTargetResolverService' has a total cyclomatic complexity of 100 (highest 16).
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/MixedGraphService.java|GodClass|27|Possible God Class (WMC=72, ATFD=11, TCC=3.846%)
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/RiskGraphProjectionContributor.java|CyclomaticComplexity|243|The method 'toScenarioLinkEdge(UUID, UUID, RiskScenarioLinkTargetType, UUID, String)' has a cyclomatic complexity of 17.
backend/src/main/java/com/keplerops/groundcontrol/domain/graph/service/ThreatModelGraphProjectionContributor.java|CyclomaticComplexity|112|The method 'toThreatModelLinkEdge(UUID, UUID, ThreatModelLinkTargetType, UUID, String, Set<UUID>, Set<UUID>, Set<UUID>)' has a cyclomatic complexity of 20.
backend/src/main/java/com/keplerops/groundcontrol/domain/grcanalysis/service/EvidenceFreshnessAnalysisService.java|CyclomaticComplexity|47|The class 'EvidenceFreshnessAnalysisService' has a total cyclomatic complexity of 104 (highest 12).
backend/src/main/java/com/keplerops/groundcontrol/domain/grcanalysis/service/EvidenceFreshnessAnalysisService.java|GodClass|47|Possible God Class (WMC=104, ATFD=48, TCC=12.500%)
backend/src/main/java/com/keplerops/groundcontrol/domain/grcanalysis/service/NistAssessmentService.java|GodClass|41|Possible God Class (WMC=62, ATFD=32, TCC=0.952%)
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackIntegrityVerifier.java|CyclomaticComplexity|24|The class 'PackIntegrityVerifier' has a total cyclomatic complexity of 81 (highest 11).
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackIntegrityVerifier.java|GodClass|24|Possible God Class (WMC=81, ATFD=62, TCC=0.000%)
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackRegistryImportService.java|CyclomaticComplexity|25|The class 'PackRegistryImportService' has a total cyclomatic complexity of 144 (highest 10).
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackRegistryImportService.java|GodClass|25|Possible God Class (WMC=144, ATFD=30, TCC=3.565%)
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackResolver.java|CyclomaticComplexity|129|The method 'resolveDependencies(UUID, PackRegistryEntry, Set<String>, int)' has a cyclomatic complexity of 17.
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/PackResolver.java|GodClass|22|Possible God Class (WMC=59, ATFD=33, TCC=5.455%)
backend/src/main/java/com/keplerops/groundcontrol/domain/packregistry/service/TrustEvaluator.java|CyclomaticComplexity|110|The method 'extractField(ResolvedPack, PackIntegrityVerification, TrustPolicyField)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/requirements/service/AnalysisService.java|GodClass|34|Possible God Class (WMC=77, ATFD=111, TCC=20.158%)
backend/src/main/java/com/keplerops/groundcontrol/domain/requirements/service/GitHubIssueSyncService.java|GodClass|35|Possible God Class (WMC=66, ATFD=94, TCC=22.222%)
backend/src/main/java/com/keplerops/groundcontrol/domain/requirements/service/ImportService.java|GodClass|39|Possible God Class (WMC=51, ATFD=62, TCC=18.333%)
backend/src/main/java/com/keplerops/groundcontrol/domain/requirements/service/ReqifParser.java|CyclomaticComplexity|25|The class 'ReqifParser' has a total cyclomatic complexity of 104 (highest 11).
backend/src/main/java/com/keplerops/groundcontrol/domain/requirements/service/ReqifParser.java|GodClass|25|Possible God Class (WMC=104, ATFD=46, TCC=3.557%)
backend/src/main/java/com/keplerops/groundcontrol/domain/research/service/ResearchIntakeService.java|CyclomaticComplexity|124|The method 'validate(ResearchIntakeCommand)' has a cyclomatic complexity of 22.
backend/src/main/java/com/keplerops/groundcontrol/domain/research/service/ResearchIntakeService.java|GodClass|30|Possible God Class (WMC=48, ATFD=32, TCC=21.429%)
backend/src/main/java/com/keplerops/groundcontrol/domain/riskscenarios/service/MethodologyProfileService.java|GodClass|29|Possible God Class (WMC=68, ATFD=23, TCC=15.789%)
backend/src/main/java/com/keplerops/groundcontrol/domain/riskscenarios/service/RiskAssessmentResultService.java|CyclomaticComplexity|138|The method 'applySharedUpdates(RiskAssessmentResult, UUID, UUID, UUID, String, String, Map<String, Object>, Instant, Instant, String, String, Map<String, Object>, Map<String, Object>, List<String>, String, List<UUID>)' has a cyclomatic complexity of 18.
backend/src/main/java/com/keplerops/groundcontrol/domain/riskscenarios/service/RiskScenarioWorkspaceService.java|GodClass|74|Possible God Class (WMC=73, ATFD=69, TCC=0.654%)
backend/src/main/java/com/keplerops/groundcontrol/domain/riskscenarios/service/TreatmentPlanService.java|GodClass|40|Possible God Class (WMC=75, ATFD=45, TCC=14.379%)
backend/src/main/java/com/keplerops/groundcontrol/domain/testcases/model/TestCase.java|CyclomaticComplexity|97|The constructor 'TestCase(Project, String, String, TestCaseType, TestCasePriority, TestCaseFormat)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/testcases/model/TestRunStepResult.java|CyclomaticComplexity|90|The constructor 'TestRunStepResult(TestRunCaseResult, TestCaseStep, int, String, String, int)' has a cyclomatic complexity of 15.
backend/src/main/java/com/keplerops/groundcontrol/domain/testcases/service/TestRunService.java|GodClass|50|Possible God Class (WMC=68, ATFD=93, TCC=28.063%)
backend/src/main/java/com/keplerops/groundcontrol/domain/testcases/service/TestSuiteService.java|CyclomaticComplexity|59|The class 'TestSuiteService' has a total cyclomatic complexity of 99 (highest 14).
backend/src/main/java/com/keplerops/groundcontrol/domain/testcases/service/TestSuiteService.java|GodClass|59|Possible God Class (WMC=99, ATFD=112, TCC=19.373%)
backend/src/main/java/com/keplerops/groundcontrol/infrastructure/age/AgeGraphService.java|CyclomaticComplexity|61|The class 'AgeGraphService' has a total cyclomatic complexity of 102 (highest 12).
backend/src/main/java/com/keplerops/groundcontrol/infrastructure/age/AgeGraphService.java|GodClass|61|Possible God Class (WMC=102, ATFD=13, TCC=7.661%)
backend/src/main/java/com/keplerops/groundcontrol/infrastructure/github/GitHubCliClient.java|GodClass|24|Possible God Class (WMC=72, ATFD=8, TCC=15.152%)
backend/src/main/java/com/keplerops/groundcontrol/shared/security/service/UserAdminService.java|GodClass|50|Possible God Class (WMC=55, ATFD=6, TCC=13.450%)
